COMPONENT PM10 (aerosol), day,Unnamed: 2
STATION AGIA SOFIA,,
20081128 00:00,76.0,1.0
20081129 00:00,51.0,1.0
20081130 00:00,80.0,1.0
20081201 00:00,80.0,1.0
20081202 00:00,81.0,1.0
20081203 00:00,52.0,1.0
20081204 00:00,39.0,1.0
20081205 00:00,36.0,1.0
20081206 00:00,41.0,1.0
20081207 00:00,37.0,1.0
20081208 00:00,42.0,1.0
20081209 00:00,24.0,1.0
20081210 00:00,60.0,1.0
20081211 00:00,75.0,1.0
20081212 00:00,22.0,1.0
20081213 00:00,44.0,1.0
20081214 00:00,49.0,1.0
20081215 00:00,23.0,1.0
20081216 00:00,45.0,1.0
20081217 00:00,56.0,1.0
20081218 00:00,54.0,1.0
20081219 00:00,48.0,1.0
20081220 00:00,46.0,1.0
20081221 00:00,50.0,1.0
20081222 00:00,36.0,1.0
20081223 00:00,41.0,1.0
20081224 00:00,31.0,1.0
20081225 00:00,30.0,1.0
20081226 00:00,32.0,1.0
20081227 00:00,25.0,1.0
20081228 00:00,44.0,1.0
20081229 00:00,45.0,1.0
20081230 00:00,49.0,1.0
20081231 00:00,76.0,1.0
20090101 00:00,81.0,1.0
20090102 00:00,67.0,1.0
20090103 00:00,49.0,1.0
20090104 00:00,25.0,1.0
20090105 00:00,48.0,1.0
20090106 00:00,44.0,1.0
20090107 00:00,81.0,1.0
20090108 00:00,73.0,1.0
20090109 00:00,36.0,1.0
20090110 00:00,59.0,1.0
20090111 00:00,56.0,1.0
20090112 00:00,65.0,1.0
20090113 00:00,80.0,1.0
20090114 00:00,42.0,1.0
20090115 00:00,67.0,1.0
20090116 00:00,41.0,1.0
20090117 00:00,38.0,1.0
20090118 00:00,62.0,1.0
20090119 00:00,92.0,1.0
20090120 00:00,89.0,1.0
20090121 00:00,61.0,1.0
20090122 00:00,37.0,1.0
20090123 00:00,41.0,1.0
20090124 00:00,60.0,1.0
20090125 00:00,38.0,1.0
20090126 00:00,53.0,1.0
20090127 00:00,58.0,1.0
20090128 00:00,26.0,1.0
20090129 00:00,35.0,1.0
20090130 00:00,32.0,1.0
20090131 00:00,25.0,1.0
20090201 00:00,23.0,1.0
20090202 00:00,27.0,1.0
20090203 00:00,50.0,1.0
20090204 00:00,72.0,1.0
20090205 00:00,77.0,1.0
20090206 00:00,66.0,1.0
20090207 00:00,48.0,1.0
20090208 00:00,41.0,1.0
20090209 00:00,29.0,1.0
20090210 00:00,25.0,1.0
20090211 00:00,55.0,1.0
20090212 00:00,33.0,1.0
20090213 00:00,25.0,1.0
20090214 00:00,30.0,1.0
20090215 00:00,32.0,1.0
20090216 00:00,24.0,1.0
20090217 00:00,35.0,1.0
20090218 00:00,50.0,1.0
20090219 00:00,56.0,1.0
20090220 00:00,37.0,1.0
20090221 00:00,37.0,1.0
20090222 00:00,40.0,1.0
20090223 00:00,50.0,1.0
20090224 00:00,57.0,1.0
20090225 00:00,43.0,1.0
20090226 00:00,52.0,1.0
20090227 00:00,38.0,1.0
20090228 00:00,24.0,1.0
20090301 00:00,34.0,1.0
20090302 00:00,40.0,1.0
20090303 00:00,45.0,1.0
20090304 00:00,38.0,1.0
20090305 00:00,39.0,1.0
20090306 00:00,60.0,1.0
20090307 00:00,21.0,1.0
20090308 00:00,20.0,1.0
20090309 00:00,36.0,1.0
20090310 00:00,32.0,1.0
20090311 00:00,27.0,1.0
20090312 00:00,24.0,1.0
20090313 00:00,30.0,1.0
20090314 00:00,26.0,1.0
20090315 00:00,26.0,1.0
20090316 00:00,37.0,1.0
20090317 00:00,26.0,1.0
20090318 00:00,31.0,1.0
20090319 00:00,21.0,1.0
20090320 00:00,23.0,1.0
20090321 00:00,24.0,1.0
20090322 00:00,26.0,1.0
20090323 00:00,43.0,1.0
20090324 00:00,39.0,1.0
20090325 00:00,24.0,1.0
20090326 00:00,25.0,1.0
20090327 00:00,40.0,1.0
20090328 00:00,34.0,1.0
20090329 00:00,45.0,1.0
20090330 00:00,58.0,1.0
20090331 00:00,84.0,1.0
20090401 00:00,73.0,1.0
20090402 00:00,66.0,1.0
20090403 00:00,46.0,1.0
20090404 00:00,56.0,1.0
20090405 00:00,55.0,1.0
20090406 00:00,38.0,1.0
20090407 00:00,38.0,1.0
20090408 00:00,53.0,1.0
20090409 00:00,68.0,1.0
20090410 00:00,-9999.0,0.0
20090411 00:00,-9999.0,0.0
20090412 00:00,-9999.0,0.0
20090413 00:00,-9999.0,0.0
20090414 00:00,-9999.0,0.0
20090415 00:00,-9999.0,0.0
20090416 00:00,-9999.0,0.0
20090417 00:00,-9999.0,0.0
20090418 00:00,-9999.0,0.0
